Id,Title,AccentColour,Url,ThumbnailUrl,Tags,DatePosted,Type,AudienceType,Body,Audience
16,How to interview software developers,#130e45,how-to-interview-software-developers,\content\images\list-images\how-to-interview.jpg,,24 October 2017,Article,Both,,
17,Dev Training: Big O Notation,#130e45,dev-training-big-o-notation,\content\images\list-images\dev-training-big-o-notation.jpg,,15 January 2017,Article,Both,,
18,"Engineers, Meet Users",#130e45,engineers-meet-users,\content\images\engineers-meet-users.jpg,,3 December 2016,Article,Both,,
19,"Dev Training: Patterns, Principles + Values",#130e45,dev-training-patterns-principles-and-values,\content\images\list-images\dev-training.jpg,,13 November 2016,Article,Both,,
20,8 ways to create a good team,#130e45,8-ways-to-create-a-good-team,\content\images\list-images\leading.jpg,,1 October 2016,Article,Both,,
21,7 things to release software,#130e45,7-things-to-release-software,\content\images\list-images\releases.jpg,,11 September 2016,Article,Both,,
22,Action for Happiness: What Matters,#130e45,action-for-happiness-what-matters,\content\images\list-images\happiness-course.jpg,,2 August 2016,Article,Both,,
23,Smartphones: Where Next?,#130e45,smartphones-where-next,\content\images\list-images\smartphones-home-tv.jpg,,16 November 2015,Article,Both,,
24,Developer Fashions: Docker,#130e45,developer-fashions-docker,\content\images\tokyo.jpg,Awaiting-Upload,19 December 2016,Article,Both,,
25,Dev Training: Common Data Structures,#130e45,dev-training-common-data-structures,\content\images\tokyo.jpg,Awaiting-Upload,10 December 2016,Article,Both,,
26,Mocking In ASP.Net,#130e45,mocking-in-asp-net,\content\images\tokyo.jpg,Awaiting-Upload,22 November 2016,Article,Both,,
27,Dev Training: NP-Complete Problems,#130e45,dev-training-np-complete-problems,\content\images\tokyo.jpg,Awaiting-Upload,17 November 2016,Article,Both,,
